Link,Year,Month,Heading,Response date,Requested by,Question,Correct Answer,,Chatbot answer (500 noise files),all-mpnet-base-v2 (500 files),"""BAAI/bge-base-en-v1.5"" (500)"
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14765-response-letter.pdf,2024,March,"Engine braking noise camera trial in Tauranga, 2013-2014",Responded: 18 March 2024,Requested by: Member of the public,,did the engine braking noise camera trial took place? what where the results?,"Yes, the trial was undertaken in Tauranga from late 2013 to mid-2014. Findings from the trial are summarised in a leaflet which is available on the NZ Transport Agency
Waka Kotahi (NZTA) website at https://www.nzta.govt.nz/assets/Highways-InformationPortal/Technical-disciplines/Noise-and-vibration/Research-and-information/Leaflets/NZTA-truckengine-braking-Noise-camera-v1.0.pdf.
",correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14607-response-letter.pdf,2024,March,Questions on the August 2023 National Ticketing System (NTS) Governance Board minutes,Responded: 15 March 2024,Requested by: Member of the public,,"what are  the three latest documents of any kind that WK is relying on in ‘tracking the level of  confidence on delivery dates’ ?
",,correct,,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14731-response-letter.pdf,2024,March,Hi-vis vests purchased for SH25A Taparahi Bridge opening,Responded: 13 March 2024,Requested by: Member of the public,,Who purchased the new unbranded vests for Government Ministers?,The unbranded hi-vis vests were purchased by NZTA,correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14681-response-letter.pdf,2024,March,"Crashes and complaints about the SH2 Bayfair roundabout, Mount Maunganui",Responded: 8 March 2024,Requested by: Member of the public,,"since the trafic lights at roundabout next to the Bayfair Shopping Centre at Mt Maunganui became operational, how many accidents have there been?",only one recorded accident,correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14332-response-letter.pdf,2024,March,Cost estimates for 13 projects,Responded: 7 March 2024,Requested by: NZME,,what is the estimated cost of  Warkworth to Wellsford road?,The cost estimate range in the 2019 Detailed Business case is $1.73 billion to $2.07 billion.,did not find,did not find,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14648-response-letter.pdf,2024,March,Cost of vegetation control on state highways in New Zealand,Responded: 6 March 2024,Requested by: Member of the public,,do you have information related to the costs for verge control on all NZ state highways administered by NZTA,,correct,did not find,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14575-response-letter.pdf,2024,February ,Waikanae Bridge work,Responded: 29 February 2024,Requested by: Member of the public,,What level of community engagement/input was undertaken and considered prior to NZTA and the Kapiti Coast District Council making such a disruptive traffic management decision on behalf on the community?,"Extensive community engagement and consultation was undertaken to develop the design for the revocation works, including briefings with the Paraparaumu / Raumati and Waikanae community boards, letter drops and emails to businesses and residents, engagement with the Waikanae and Paraparaumu communities and community stakeholder groups including walking and cyclist groups",correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14492-response-letter.pdf,2024,February ,Mt Messenger legal costs,Responded: 28 February 2024,Requested by: Member of the public,,w how much Waka Kotahi has spent in legal fees and court & hearing related costs on the Mt Messenger bypass project to date?,"NZ Transport Agency Waka Kotahi (NZTA) has spent $4,131,144 on legal fees, court and hearing costs related to the Mt Messenger project as at 31 December 2023. Within that sum, $2,225,809 was associated specifically with appeals against Resource Management Act and Public Works Act decisions. Please note these costs do not include officers and expert witness’ time (or disbursements) in preparation and attendance at various hearings. Legal costs in the order of $50,000 to $100,000 per month continue to be incurred as a result of appeals against the project.",correct,did not din,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14368-response-letter.pdf,2024,February ,Let's Get Wellington Moving (LGWM) spend on consultants and contractors as at 31 January 2024,Responded: 23 February 2024,Requested by: Stuff,,The total amount LGWM spent on external consultants and contractors,"As at 31 January 2024, Let's Get Well ington Moving (LGWM) has spent $109.2 million on consultants and $15. 1 million on contractors since its inception in 2015/16 financial year.",correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14627-response-letter.pdf,2024,February ,"Cost of repairing slip on SH6 Rai Saddle, Nelson",Responded: 14 February 2024,Requested by: Member of the public,,The costs associated with the repairs to the slip on State Highway 6 Rai Saddle on the Nelson side of the hill.,"The total cost of repairing the slip on the stretch of Collins Valley Road (SH6) through Rai Saddle, Nelson, was $301,500.",correct,did not find,did not find
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14436-response-letter.pdf,2024,February ,SH1 Brynderwyn Hills Closure,Responded: 13 February 2024,Requested by: Member of the public,,Who decided that the Brynderwyn Job in regard to the major works and closure from 26th Feb 2024 did not need to follow a tender process?,nzta,correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14471-response-letter.pdf,2024,February ,Waikanae Bridge clip-on cycle path cost,Responded: 12 February 2024,Requested by: Member of the public,,how miuch did Waikanae bridge up grade cost ?,,correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14359-response-letter.pdf,2024,February ,Raised safety platforms on SH1C in Hamilton,Responded: 9 February 2024,Requested by: Member of the public,,"regarding the roundabout of Lincoln Street / Norton Road / Rifle Range, has nzta conducted fair and objective
research on the potential negative impacts and damage caused by raised platforms
Road",,wrong,wrong,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14383-response-letter.pdf,2024,February ,Contracting approach for large-scale infrastructure projects,Responded: 7 February 2024,Requested by: Member of the public,,why is affiancing preferred over design build for major projects?,,wrong,,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14244-response-letter.pdf,2024,January,Ministerial direction received for NZTA communication,Responded: 29 January 2024,Requested by: Member of the public,,"does nzta have  a list of words not to be used in briefings, letters, emails, memos, aides-memoires or any
other documents, or in meetings",,correct,correct,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14185-response-letter.pdf,2024,January,Tinwald corridor improvements consultation and timeline,Responded: 18 January 2024,Requested by: Member of the public,,where can i find what is going on with Tinwald corridor ,One of the most effective ways to stay up to date with what is happening on the Tinwald corridor improvements is on the project page: https://www.nzta.govt.nz/projects/sh1-tinwald/.,did not find,did not find link,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14286-response-letter.pdf,2024,January,Cost of moving a bus stop in Hamilton,Responded: 18 January 2024,Requested by: Stuff (Waikato Times),,what was the cost of moving the bus stop in hamilton?,"10,000",correct,did not find link,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14298-response-letter.pdf,2024,January,The Bay Link total project cost,Responded: 9 January 2024,Requested by: Member of the public,,what is the final cost of the Bayfair to Baypark project?,292 million,correct,,
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-14119-response-letter.pdf,2023,December,SH1B Telephone Road rail crossing closure,Responded: 19 December 2023,Requested by: Member of the public,,on 21st november 2323 why whas State Highway 1 B (SH 1 B) Telephone Road closed?,"In April 2022, a truck crossing the railway line at Telephone Road dislodged a section of rail track,",correct,,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-14270-response-letter.pdf,2023,December,Bilingual signage costs,Responded: 18 December 2023,Requested by: Member of the public,,up to december 2023 how much has been spent on bilingual signage?,"A total of $1 , 162,667 h",correct,,
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-14203-response-letter.pdf,2023,December,SH1 Whangarei to Wellsford – justification for safety improvements and cost of installation,Responded: 15 December 2023,Requested by: Member of the public,,What is the justification  for the removal of almost all passing opportunities between Whangarei and the Brynderwyn Hills? ,it resuted in less accidents,correct,,
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-14039-response-letter.pdf,2023,December,Safety improvements work at SH3/Junction Street intersection,Responded: 6 December 2023,Requested by: Member of the public,,"what was wrong with intersection of SH3 and Junction Street, New Plymouth that required work to be done on it?",there was a  high risk of injury,correct,,
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-14011-response-letter.pdf,2023,December,Let's Get Wellington Moving (LGWM) overall expenses,Responded: 27 November 2023,Requested by: Member of the public,,what buildings where occupied by lets get wellingtong moving by 4 of november 2023, Level 7 of the Majestic Centre at 100 Willis Street since May 2023.,correct,,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13871-response-letter.pdf,2023,December,Value of Cubic’s contract with Waka Kotahi,Responded: 8 November 2023,Requested by: Member of the public,,What is the value of Waka Kotahi's contract with Cubic? I,$474.2 million.,correct,,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13816-response-letter.pdf,2023,December,Information relating to the proposed changes of SH2/Moonshine Hill Road intersection,Responded: 7 November 2023,Requested by: Member of the public,,"regarding Riverstone Terraces turn off in Upper Hutt along SH2, what are its proposed speed changes?",The proposal to reduce speed from 100km/h to 60km/h on this section of SH2 is included in our Interim Speed Management Plan (ISMP).,did not find,,
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13671-response-letter.pdf,2023,December,LGWM salary info and programme spend up to 31 August 2023,Responded: 2 November 2023,Requested by: Member of the public,,How many staff in total are employed at Let’s Get Wellington Moving and what is the average salary?,"As at 31 August 2023, the Let’s Get Wellington Moving (LGWM) core programme team has 39 FTE permanent and fixed-term employees with an average annual salary of $151,715.38.",correct,,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13888-response-letter.pdf,2023,December,Land acquisition cost for O Mahurangi - Penlink land,Responded: 1 November 2023,Requested by: Member of the public,,Can you tell me how much Waka Kotahi paid AT for the O Mahurangi -Pen/ink land?,"$31,425,991",correct,,
,,,,,,,,,,,
,,,,,,,,Correct,38,24,
,,,,,,,,Incorrect,3,2,
,,,,,,,,Did not find,9,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Simple Files Summary (500 Noise Files),,,,,,,,
,,,Correct,38,,,,,,,
,,,Incorrect,3,,,,,,,
,,,Did not find,9,,,,,,,
